url,image,name,price
https://www.electronicmusicworks.com/eurorack/wave-stereolizer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/w/a/wave_stereolizer.jpg,WAVE STEREOLIZER,"
                                            MSRP $89.00                                    "
https://www.electronicmusicworks.com/eurorack/stereolizer-processor.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/s/t/stereolizer_processor.jpg,STEREOLIZER PROCESSOR,"
                                            MSRP $142.00                                    "
https://www.electronicmusicworks.com/eurorack/stereo-enhancer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/s/t/stereo_enhancer_b.jpg,STEREO ENHANCER,"
                                            MSRP $86.00                                    "
https://www.electronicmusicworks.com/eurorack/pseudo-stereo.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/p/s/pseudo_stereo_b.jpg,PSEUDO STEREO,"
                                            MSRP $82.00                                    "
https://www.electronicmusicworks.com/eurorack/t-drum.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/t/-/t-drum_b.jpg,T-DRUM,"
                                            MSRP $139.00                                    "
https://www.electronicmusicworks.com/eurorack/x-drum-12-bit-drum-module.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/x/-/x-drum_b.jpg,X-DRUM 12-BIT DRUM MODULE,"
                                            MSRP $0.00                                    "
https://www.electronicmusicworks.com/eurorack/digi-drum.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/d/i/digi-drum_b.jpg,DIGI DRUM,"
                                            MSRP $168.00                                    "
https://www.electronicmusicworks.com/eurorack/analog-bass-drum-4x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/n/analog_bass_drum_4x_b.jpg,ANALOG BASS DRUM 4X,"
                                            MSRP $189.00                                    "
https://www.electronicmusicworks.com/eurorack/analog-drum-synth.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/n/analog_drum_synth_b_4.jpg,ANALOG DRUM SYNTH,"
                                            MSRP $269.00                                    "
https://www.electronicmusicworks.com/eurorack/analog-snare-lab.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/n/analog_snare_lab.jpeg,ANALOG SNARE LAB,"
                                            MSRP $156.00                                    "
https://www.electronicmusicworks.com/eurorack/bpm-center.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/b/p/bpm_center.jpeg,BPM CENTER,"
                                            MSRP $188.00                                    "
https://www.electronicmusicworks.com/eurorack/bpm-generator.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/b/p/bpm_generator_b.jpg,BPM GENERATOR,"
                                            MSRP $162.00                                    "
https://www.electronicmusicworks.com/eurorack/t-sequencer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/t/-/t-sequencer.jpeg,T-SEQUENCER,"
                                            MSRP $186.00                                    "
https://www.electronicmusicworks.com/eurorack/8-step-trigger-sequence.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/8/-/8-step_trigger_sequencer_b.jpg,8-STEP TRIGGER SEQUENCER,"
                                            MSRP $98.00                                    "
https://www.electronicmusicworks.com/eurorack/trigger-sequencer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/8/t/8trk_16stp_trigger_sequencer_b.jpg,8/16-STEP TRIGGER SEQUENCER,"
                                            MSRP $169.00                                    "
https://www.electronicmusicworks.com/eurorack/8-track-drum-programmer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/8/-/8-track.jpeg,8-TRACK DRUM PROGRAMMER,"
                                            MSRP $199.00                                    "
https://www.electronicmusicworks.com/eurorack/vc-trigger-source.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/c/vc_trigger_source_b.jpg,VC TRIGGER SOURCE,"
                                            MSRP $89.00                                    "
https://www.electronicmusicworks.com/eurorack/quantizer-101.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/q/u/quantizer_101_b_2.jpg,QUANTIZER 101,"
                                            MSRP $139.00                                    "
